,Gesture,Precision,Recall,F1 score
0,close fist,0.9259259259259259,1.0,0.9615384615384615
1,move left,1.0,1.0,1.0
2,move right,0.98,0.98,0.98
3,move up,1.0,1.0,1.0
4,move down,0.96,0.9795918367346939,0.9696969696969697
5,rotate left,1.0,0.975,0.9873417721518987
6,rotate right,1.0,0.868421052631579,0.9295774647887324
7,stop,0.8444444444444444,1.0,0.9156626506024096
8,thumb in,0.9302325581395349,1.0,0.963855421686747
9,Weighted average,0.961872177446071,0.9801488833746899,0.9696255253858159
